region_name,school_count,student_count,male_students,female_students,class_count,teacher_count,avg_students_per_school,avg_students_per_class,students_per_teacher,population,academy_count,academy_capacity,pension_avg_income,academy_per_1000_students,schools_per_100k_population,high_school_students_per_1000_population,male_share,female_share,source_scope
강원특별자치도 정선군,7,679.0,354.0,325.0,44.0,101,97.0,15.431818181818182,6.7227722772277225,35001,28,560,1370397,41.23711340206186,19.999428587754636,19.399445730121997,0.5213549337260678,0.4786450662739323,2025 high schools only for school-level metrics
강원특별자치도 철원군,5,882.0,468.0,414.0,56.0,112,176.4,15.75,7.875,39818,60,3040,1454547,68.02721088435375,12.557134964086595,22.150786076648753,0.5306122448979592,0.46938775510204084,2025 high schools only for school-level metrics
강원특별자치도 춘천시,14,7295.0,3793.0,3502.0,311.0,675,521.0714285714286,23.456591639871384,10.807407407407407,284855,691,34236,1419291,94.72241261137766,4.914781204472451,25.609520633304662,0.5199451679232351,0.4800548320767649,2025 high schools only for school-level metrics
강원특별자치도 태백시,5,972.0,533.0,439.0,55.0,126,194.4,17.672727272727272,7.714285714285714,36886,44,1655,1374941,45.26748971193416,13.555278425418857,26.35146125901426,0.5483539094650206,0.45164609053497945,2025 high schools only for school-level metrics
강원특별자치도 평창군,5,686.0,363.0,323.0,38.0,97,137.2,18.05263157894737,7.072164948453608,39949,32,735,1418071,46.647230320699705,12.515957846253974,17.17189416506045,0.5291545189504373,0.4708454810495627,2025 high schools only for school-level metrics
강원특별자치도 홍천군,7,1362.0,662.0,700.0,71.0,158,194.57142857142858,19.183098591549296,8.620253164556962,65937,80,3759,1468362,58.737151248164466,10.616194246022719,20.656080804404205,0.48604992657856094,0.5139500734214391,2025 high schools only for school-level metrics
강원특별자치도 화천군,4,396.0,191.0,205.0,27.0,66,99.0,14.666666666666666,6.0,22284,24,616,1427658,60.60606060606061,17.95009872554299,17.770597738287563,0.4823232323232323,0.5176767676767676,2025 high schools only for school-level metrics
강원특별자치도 횡성군,7,1373.0,743.0,630.0,82.0,181,196.14285714285714,16.74390243902439,7.585635359116022,45583,44,2283,1411992,32.04661325564458,15.356602242063927,30.120878397648244,0.5411507647487254,0.4588492352512746,2025 high schools only for school-level metrics
경기도 가평군,5,1459.0,720.0,739.0,71.0,148,291.8,20.549295774647888,9.858108108108109,62030,85,4754,1519847,58.25908156271419,8.06061583104949,23.520876995002418,0.49348869088416725,0.5065113091158328,2025 high schools only for school-level metrics
경기도 고양시,38,27386.0,14010.0,13376.0,1184.0,2331,720.6842105263158,23.13006756756757,11.74860574860575,277365,3478,217718,1483901,126.9991966698313,13.700358733077353,98.73632217475169,0.511575257430804,0.48842474256919594,2025 high schools only for school-level metrics
경기도 과천시,4,2061.0,959.0,1102.0,99.0,189,515.25,20.818181818181817,10.904761904761905,80098,293,11165,1636558,142.16399805919457,4.993882493944918,25.730979550051185,0.46530810286268803,0.534691897137312,2025 high schools only for school-level metrics
경기도 광명시,11,7766.0,4084.0,3682.0,333.0,657,706.0,23.32132132132132,11.820395738203958,300826,884,39449,1534423,113.82951326294102,3.6565988312180466,25.815587748399405,0.5258820499613701,0.47411795003862994,2025 high schools only for school-level metrics
경기도 광주시,8,7268.0,3482.0,3786.0,248.0,488,908.5,29.306451612903224,14.89344262295082,397174,804,46497,1521126,110.62190423775455,2.0142305387563133,18.29928444460111,0.4790864061640066,0.5209135938359934,2025 high schools only for school-level metrics
경기도 구리시,7,4387.0,2315.0,2072.0,186.0,372,626.7142857142857,23.586021505376344,11.793010752688172,185946,584,34291,1513436,133.120583542284,3.7645337893797124,23.592871048583994,0.5276954638705266,0.47230453612947343,2025 high schools only for school-level metrics
